parameter,label,level_pct,value,final_wear_mm,min_safety_factor,min_traction_margin,fracture_flags,max_load_N
wear_k_cold,cold-temp wear coefficient,-50,0.00019,5.2497,3.1354,0.036,0,612.36
wear_k_cold,cold-temp wear coefficient,-25,0.000285,7.1273,3.1354,0.036,0,612.36
wear_k_cold,cold-temp wear coefficient,0,0.00038,9.0048,3.1354,0.036,0,612.36
wear_k_cold,cold-temp wear coefficient,25,0.00047500000000000005,10.8824,3.1354,0.036,0,612.36
wear_k_cold,cold-temp wear coefficient,50,0.00057,12.76,3.1354,0.036,0,612.36
instant_contact_fraction,instant contact fraction,-50,0.1,18.0097,3.1354,0.036,0,612.36
instant_contact_fraction,instant contact fraction,-25,0.15000000000000002,12.0065,3.1354,0.036,0,612.36
instant_contact_fraction,instant contact fraction,0,0.2,9.0048,3.1354,0.036,0,612.36
instant_contact_fraction,instant contact fraction,25,0.25,7.2039,3.1354,0.036,0,612.36
instant_contact_fraction,instant contact fraction,50,0.30000000000000004,6.0032,3.1354,0.036,0,612.36
payload_mass_kg,payload mass (kg),-50,135.0,5.1456,5.487,0.036,0,349.92
payload_mass_kg,payload mass (kg),-25,202.5,7.0752,3.9905,0.036,0,481.14
payload_mass_kg,payload mass (kg),0,270.0,9.0048,3.1354,0.036,0,612.36
payload_mass_kg,payload mass (kg),25,337.5,10.9344,2.5821,0.036,0,743.58
payload_mass_kg,payload mass (kg),50,405.0,12.8641,2.1948,0.036,0,874.8
dynamic_spike_factor,dynamic load spike factor,-50,2.0,8.5371,6.2708,0.036,0,306.18
dynamic_spike_factor,dynamic load spike factor,-25,3.0,8.771,4.1805,0.036,0,459.27
dynamic_spike_factor,dynamic load spike factor,0,4.0,9.0048,3.1354,0.036,0,612.36
dynamic_spike_factor,dynamic load spike factor,25,5.0,9.2387,2.5083,0.036,0,765.45
dynamic_spike_factor,dynamic load spike factor,50,6.0,9.4726,2.0903,0.036,0,918.54
