delta_alpha_ppm_per_K,peel_recovery_factor,peak_peel_MPa,static_SF,cycles_to_failure,fatigue_life_years
10,0.3,4.5,2.222,25118.8643,2028.765
10,0.4,6.0,1.667,1584.8932,128.006
10,0.5,7.5,1.333,100.0,8.077
10,0.7,10.5,0.952,0.5,0.04
10,1.0,15.0,0.667,0.5,0.04
15,0.3,6.75,1.481,398.1072,32.154
15,0.4,9.0,1.111,6.3096,0.51
15,0.5,11.25,0.889,0.5,0.04
15,0.7,15.75,0.635,0.5,0.04
15,1.0,22.5,0.444,0.5,0.04
19,0.3,8.55,1.17,14.4544,1.167
19,0.4,11.4,0.877,0.5,0.04
19,0.5,14.25,0.702,0.5,0.04
19,0.7,19.95,0.501,0.5,0.04
19,1.0,28.5,0.351,0.5,0.04
25,0.3,11.25,0.889,0.5,0.04
25,0.4,15.0,0.667,0.5,0.04
25,0.5,18.75,0.533,0.5,0.04
25,0.7,26.25,0.381,0.5,0.04
25,1.0,37.5,0.267,0.5,0.04
30,0.3,13.5,0.741,0.5,0.04
30,0.4,18.0,0.556,0.5,0.04
30,0.5,22.5,0.444,0.5,0.04
30,0.7,31.5,0.317,0.5,0.04
30,1.0,45.0,0.222,0.5,0.04
